playerID,year,tmID,GP,GS,minutes,oRebounds,dRebounds,dq,PostGP,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostDQ,Postperformance,performance,points_precision,Postpoints_precision
abrossv01w,3,MIN,26.0,23.0,846.0,43.0,131.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,451.0,0.0
abrossv01w,4,MIN,26.5,25.0,825.5,44.0,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.5,472.5,0.0
abrossv01w,5,MIN,28.5,26.0,798.5,44.5,99.0,0.0,1.5,1.5,34.5,0.5,2.0,0.0,10.5,417.0,463.0,18.0
abrossv01w,6,MIN,26.0,18.0,627.0,30.5,77.0,0.0,2.5,2.5,68.0,2.0,5.0,0.0,23.0,319.5,331.5,37.0
abrossv01w,7,MIN,26.5,21.0,619.5,23.0,67.5,0.0,1.0,1.0,33.5,1.5,3.0,0.0,12.5,285.5,317.0,19.0
abrossv01w,8,MIN,32.5,16.5,750.5,36.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,374.5,0.0
abrossv01w,9,CON,34.0,15.5,783.5,48.5,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.5,370.5,0.0
ajavoma01w,10,WAS,34.0,2.0,604.0,33.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,454.0,0.0
aldrima01w,2,WAS,29.0,0.0,272.0,8.0,16.0,0.0,2.0,0.0,49.0,1.0,3.0,0.0,22.0,71.0,79.0,19.0
amachma01w,4,SEA,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
amachma01w,6,WAS,7.0,0.0,47.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,0.0
anderch01w,5,SAC,26.0,0.0,171.0,7.0,17.0,1.0,5.0,0.0,29.0,0.0,3.0,0.0,1.0,31.0,58.0,5.0
anderch01w,6,SAS,28.0,0.0,201.0,10.5,18.5,0.5,3.5,0.0,20.0,0.0,2.5,0.0,2.0,42.5,73.0,3.5
anderch01w,7,SAS,32.0,9.5,450.0,21.0,41.0,2.5,1.0,0.0,5.5,0.0,1.0,0.0,1.5,110.0,143.5,1.0
anderch01w,8,SAS,28.5,19.5,541.5,28.0,59.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,157.5,0.0
anderke01w,2,CHA,30.0,9.0,434.0,12.0,34.0,0.0,2.0,2.0,30.0,2.0,3.0,0.0,7.0,124.0,87.0,6.0
anderke01w,3,CHA,24.0,4.5,268.0,7.5,23.0,0.0,2.0,1.0,18.5,1.0,1.5,0.0,3.5,73.0,59.5,4.5
andrame01w,2,CLE,32.0,18.0,797.0,32.0,63.0,1.0,6.0,5.0,166.0,5.0,12.0,0.0,33.0,330.0,280.0,63.0
andrame01w,3,CLE,32.0,25.0,845.0,26.5,64.5,0.5,4.5,4.0,119.0,5.0,8.0,0.0,22.0,296.0,272.5,43.0
andrame01w,5,CHA,32.0,16.0,665.0,17.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,180.0,0.0
anosini01w,10,MIN,34.0,34.0,920.0,78.0,153.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,305.0,0.0
arcaija01w,2,HOU,32.0,32.0,977.0,36.0,83.0,1.0,6.0,6.0,201.0,6.0,21.0,0.0,69.0,373.0,292.0,58.0
arcaija01w,3,HOU,32.0,32.0,1065.5,42.5,85.0,1.0,4.0,4.0,136.0,4.0,15.0,0.0,53.0,546.0,467.5,53.5
arcaija01w,4,HOU,32.0,32.0,1135.0,45.5,85.5,0.5,2.5,2.5,95.0,2.0,9.0,0.0,40.5,616.0,515.5,47.5
arcaija01w,6,HOU,34.0,34.0,1136.0,24.0,112.0,0.0,3.0,3.0,107.0,6.0,8.0,0.0,50.0,521.0,389.0,43.0
askamma01w,2,MIA,32.0,32.0,869.0,96.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,286.0,0.0
askamma01w,3,LAS,31.0,21.5,650.0,65.5,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.5,180.0,0.0
askamma01w,3,MIA,31.0,21.5,650.0,65.5,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.5,180.0,0.0
atkinla01w,8,SAC,33.0,1.0,417.0,25.0,51.0,0.0,2.0,0.0,29.0,10.0,7.0,0.0,25.0,155.0,131.0,16.0
atkinla01w,9,SAC,30.5,0.5,321.5,19.0,41.0,0.0,2.0,0.0,18.0,5.0,3.5,0.0,12.5,119.5,94.0,10.0
atkinla01w,10,SEA,16.5,0.5,149.5,8.0,21.0,0.0,1.0,0.0,3.5,0.0,0.0,0.0,0.0,56.0,40.0,2.0
augusse01w,8,MIN,34.0,34.0,1124.0,15.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,746.0,0.0
augusse01w,9,MIN,34.0,34.0,1108.5,26.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.5,689.0,0.0
augusse01w,10,MIN,32.5,32.5,1067.5,32.5,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.5,607.0,0.0
azzije01w,2,UTA,15.0,15.0,559.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,131.0,0.0
azzije01w,3,UTA,23.5,23.5,882.0,7.5,62.0,0.5,1.0,1.0,37.5,0.0,1.5,0.0,6.0,321.0,196.5,11.5
azzije01w,4,SAS,32.0,32.0,1178.0,12.5,71.0,0.5,3.5,3.5,130.5,1.0,7.0,0.0,40.0,412.0,274.0,38.0
badertr01w,2,CLE,25.0,0.0,201.0,2.0,9.0,0.0,5.0,0.0,36.0,0.0,1.0,0.0,10.0,63.0,79.0,14.0
badertr01w,3,CLE,22.0,0.0,157.5,2.0,9.5,0.0,3.0,0.0,20.0,0.5,0.5,0.0,5.5,48.5,55.5,10.0
bakersh01w,8,LAS,34.0,16.0,614.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,340.0,0.0
bakersh01w,8,NYL,34.0,16.0,614.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,340.0,0.0
bakersh01w,9,IND,20.333333333333332,9.0,373.0,13.333333333333334,28.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,212.66666666666666,0.0
bakersh01w,10,DET,13.333333333333334,3.6666666666666665,205.0,8.0,22.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,119.33333333333333,0.0
balesal01w,9,ATL,17.0,0.0,169.0,12.0,33.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,0.0,98.0,37.0,8.0
